asset_file,date,stock,1_month_return,6_month_return,12_month_return,1_month_volatility,6_month_volatility,12_month_volatility,1_month_img,6_month_img,12_month_img,label
Data/ETFs\wdti.us.txt,2012-06-15,0,-0.022608281770585492,-0.1186695278969957,-0.20252427184466015,0.00443566632904281,0.004074320647755784,0.004390618626068718,Charts/img_2_1_month.PNG,Charts/img_2_6_month.PNG,Charts/img_2_12_month.PNG,0
Data/Stocks\pbsk.us.txt,2014-01-08,1,-0.010516181589276363,-0.05086311003764998,0.1131383820711489,0.01467519132518517,0.012722137041849053,0.012243537964725177,Charts/img_3_1_month.PNG,Charts/img_3_6_month.PNG,Charts/img_3_12_month.PNG,1
Data/ETFs\iwf.us.txt,2006-04-26,0,-0.0019271051529116123,0.07649902851204193,0.14310390326991818,0.005090458920274537,0.005983358395883988,0.006065370065265873,Charts/img_6_1_month.PNG,Charts/img_6_6_month.PNG,Charts/img_6_12_month.PNG,0
Data/Stocks\nac.us.txt,2006-03-31,1,-0.03019778099372894,0.0020935101186321248,0.0828745946761178,0.005775873265947018,0.005787700056798349,0.005310975024260765,Charts/img_7_1_month.PNG,Charts/img_7_6_month.PNG,Charts/img_7_12_month.PNG,0
Data/Stocks\phx.us.txt,2015-09-16,1,-0.09733012364591309,-0.06600622700254744,-0.458196505976619,0.04698134654811775,0.029619580655832305,0.03902555879503195,Charts/img_8_1_month.PNG,Charts/img_8_6_month.PNG,Charts/img_8_12_month.PNG,2
Data/Stocks\cdxs.us.txt,2015-10-30,1,-0.029498525073746285,-0.267260579064588,0.29019607843137263,0.02193429127088161,0.04352390592332227,0.041811250519044815,Charts/img_13_1_month.PNG,Charts/img_13_6_month.PNG,Charts/img_13_12_month.PNG,2
Data/Stocks\capr.us.txt,2016-07-15,1,0.020939759036144645,1.0175714285714288,-0.15261999999999998,0.059938959112715955,0.055905382135137696,0.05122354353349663,Charts/img_14_1_month.PNG,Charts/img_14_6_month.PNG,Charts/img_14_12_month.PNG,0
Data/Stocks\vivo.us.txt,2011-12-29,1,0.04133556392025661,-0.21203649981539108,-0.18906741938985994,0.025318909863249254,0.03453029440713713,0.026377812566886403,Charts/img_17_1_month.PNG,Charts/img_17_6_month.PNG,Charts/img_17_12_month.PNG,0
Data/Stocks\tipt.us.txt,2015-03-18,1,-0.12950748505090404,-0.14210991194899114,-0.13070049086103452,0.024231340712254787,0.02914083429832228,0.029828510207024435,Charts/img_18_1_month.PNG,Charts/img_18_6_month.PNG,Charts/img_18_12_month.PNG,1
Data/Stocks\mxf.us.txt,2008-05-22,1,0.030658748791603463,0.08120246287576971,0.004441453566621956,0.013074365237561026,0.017933053346810356,0.01867073506231335,Charts/img_19_1_month.PNG,Charts/img_19_6_month.PNG,Charts/img_19_12_month.PNG,0
Data/Stocks\cht.us.txt,2008-10-07,1,-0.08193424683159511,-0.09471985243255698,0.12106675803780487,0.03887662274521007,0.023231594070326274,0.02410996699548869,Charts/img_20_1_month.PNG,Charts/img_20_6_month.PNG,Charts/img_20_12_month.PNG,0
Data/Stocks\etp.us.txt,2014-08-12,1,0.023439027797178325,0.14696305572949275,0.4965480616038238,0.01167442272849164,0.010624242371421889,0.011025608000951525,Charts/img_21_1_month.PNG,Charts/img_21_6_month.PNG,Charts/img_21_12_month.PNG,2
Data/Stocks\amh_c.us.txt,2016-05-02,1,0.015861027190332333,0.07556977209116345,0.05078124999999978,0.008731080171714619,0.00987307494386559,0.008030389584802162,Charts/img_22_1_month.PNG,Charts/img_22_6_month.PNG,Charts/img_22_12_month.PNG,1
Data/Stocks\evc.us.txt,2013-10-14,1,0.12787114270452404,0.7910671756223286,3.5460417356740637,0.028297282045943707,0.04482274683325781,0.043894567284140366,Charts/img_25_1_month.PNG,Charts/img_25_6_month.PNG,Charts/img_25_12_month.PNG,2
Data/Stocks\slb.us.txt,1986-03-04,1,-0.1042924580085629,-0.16698997406734328,-0.2658676600262735,0.02017993071034307,0.019639990204098758,0.016553626499533135,Charts/img_27_1_month.PNG,Charts/img_27_6_month.PNG,Charts/img_27_12_month.PNG,2
Data/Stocks\gprk.us.txt,2015-09-01,1,-0.1506493506493507,-0.22142857142857142,-0.695813953488372,0.06832725611314375,0.03978602216555813,0.03664821010742196,Charts/img_28_1_month.PNG,Charts/img_28_6_month.PNG,Charts/img_28_12_month.PNG,0
Data/Stocks\cni.us.txt,2013-01-15,1,0.046156061733432674,0.08145795598342565,0.25949257354216027,0.0067134721524822576,0.009355957186857899,0.011502750757834657,Charts/img_29_1_month.PNG,Charts/img_29_6_month.PNG,Charts/img_29_12_month.PNG,2
Data/Stocks\hig.us.txt,2008-05-20,1,-0.06873073354682302,-0.1954987331299447,-0.3319342164587672,0.019657140637608667,0.02356692689781862,0.021001477678959154,Charts/img_30_1_month.PNG,Charts/img_30_6_month.PNG,Charts/img_30_12_month.PNG,1
Data/Stocks\cvx.us.txt,1990-06-22,1,0.014547924987993843,0.06152337765794491,0.4231375899576091,0.01169846884690581,0.012381527762225843,0.016188129553428493,Charts/img_32_1_month.PNG,Charts/img_32_6_month.PNG,Charts/img_32_12_month.PNG,2
Data/Stocks\kweb.us.txt,2015-12-07,1,0.027345102111457242,-0.09524926136097167,0.13458993736583658,0.014785555190586424,0.024013704847284857,0.019581414812368646,Charts/img_33_1_month.PNG,Charts/img_33_6_month.PNG,Charts/img_33_12_month.PNG,0
Data/Stocks\pim.us.txt,2008-10-21,1,-0.04713986413561044,-0.19267905650735595,-0.2037297397670902,0.0552027555258151,0.025060685882735353,0.018512419920022886,Charts/img_39_1_month.PNG,Charts/img_39_6_month.PNG,Charts/img_39_12_month.PNG,0
Data/Stocks\homb.us.txt,2007-09-06,1,0.05359152165380099,-0.04583264213095706,-0.006710250400888018,0.026877149760799808,0.01755703566959283,0.0174634013866614,Charts/img_43_1_month.PNG,Charts/img_43_6_month.PNG,Charts/img_43_12_month.PNG,2
Data/Stocks\acad.us.txt,2015-07-09,1,0.03731152568361873,0.21636200179802234,0.8636363636363638,0.021826905847596344,0.03513571739546161,0.03160756304565393,Charts/img_44_1_month.PNG,Charts/img_44_6_month.PNG,Charts/img_44_12_month.PNG,0
Data/Stocks\goodo.us.txt,2012-11-14,1,-0.007879371917691724,-0.0003997943914558766,0.04545726061764532,0.006963493223659628,0.006498204817812627,0.011113250747421043,Charts/img_46_1_month.PNG,Charts/img_46_6_month.PNG,Charts/img_46_12_month.PNG,1
Data/Stocks\pbt.us.txt,2013-03-28,1,-0.0754865382676212,-0.1767621442040047,-0.4383828483920367,0.014446506841248055,0.017253061184537573,0.01720388484248893,Charts/img_48_1_month.PNG,Charts/img_48_6_month.PNG,Charts/img_48_12_month.PNG,2
Data/ETFs\agz.us.txt,2014-08-07,0,0.0034479545242755982,0.014604730048054293,0.026403584024401905,0.001819470612360372,0.0013006465826309144,0.001594596179894404,Charts/img_49_1_month.PNG,Charts/img_49_6_month.PNG,Charts/img_49_12_month.PNG,1
Data/Stocks\imos.us.txt,2015-01-12,1,0.014614176226971809,-0.03934736557443552,0.24106207057179452,0.014786915622065746,0.01953767768402725,0.019648659307211734,Charts/img_50_1_month.PNG,Charts/img_50_6_month.PNG,Charts/img_50_12_month.PNG,2
Data/Stocks\chekw.us.txt,2016-08-11,1,4.066666666666667,0.1692307692307693,-0.35593220338983045,0.28958426881704,0.23639220718216117,0.2322726675961142,Charts/img_51_1_month.PNG,Charts/img_51_6_month.PNG,Charts/img_51_12_month.PNG,2
Data/Stocks\agx.us.txt,2009-08-21,1,-0.12824001145639397,0.10480943738657,-0.20059093893630986,0.044058334629506944,0.03127622240143805,0.03389518390260358,Charts/img_53_1_month.PNG,Charts/img_53_6_month.PNG,Charts/img_53_12_month.PNG,0
Data/Stocks\cgnx.us.txt,2014-05-08,1,-0.019743483166082765,0.09147107438016544,0.5780996080680625,0.0222846694766229,0.020480135511615767,0.019405665643610272,Charts/img_55_1_month.PNG,Charts/img_55_6_month.PNG,Charts/img_55_12_month.PNG,2
Data/ETFs\ewm.us.txt,2013-11-20,0,-0.0030711776123436563,-0.012917507967012853,0.08946407475029527,0.008624695898288444,0.012095539585762004,0.01078953621742833,Charts/img_58_1_month.PNG,Charts/img_58_6_month.PNG,Charts/img_58_12_month.PNG,1
Data/Stocks\wuba.us.txt,2015-10-12,1,0.17120260525703657,-0.2098242310106716,0.40642458100558665,0.03045328746404404,0.02983282447585133,0.03658393315632251,Charts/img_60_1_month.PNG,Charts/img_60_6_month.PNG,Charts/img_60_12_month.PNG,2
Data/Stocks\spsb.us.txt,2011-08-16,1,-0.0009335727109515135,0.014696765252908417,0.016030673726492584,0.0023858359523016154,0.001613416174640278,0.0015507481359292052,Charts/img_62_1_month.PNG,Charts/img_62_6_month.PNG,Charts/img_62_12_month.PNG,1
Data/ETFs\fmy.us.txt,2012-05-17,0,0.0035629453681709222,0.10892388451443558,0.050995024875621686,0.002790233202363983,0.007473900878423404,0.011747969419687036,Charts/img_63_1_month.PNG,Charts/img_63_6_month.PNG,Charts/img_63_12_month.PNG,1
Data/Stocks\gain.us.txt,2011-11-02,1,0.1308242254910017,0.016271970853232398,0.021072939081397957,0.033992464426375664,0.02983472944486771,0.02510181838657535,Charts/img_64_1_month.PNG,Charts/img_64_6_month.PNG,Charts/img_64_12_month.PNG,0
Data/Stocks\ccih.us.txt,2012-10-10,1,0.019108280254777066,-0.16955017301038067,0.12941176470588234,0.026837234616413057,0.038548888934007416,0.0416499192976595,Charts/img_66_1_month.PNG,Charts/img_66_6_month.PNG,Charts/img_66_12_month.PNG,2
Data/Stocks\bdl.us.txt,2009-11-24,1,0.09123354496215796,0.07057395221170437,0.39777165173443607,0.03928712272867232,0.03636142749609517,0.05187805193672658,Charts/img_67_1_month.PNG,Charts/img_67_6_month.PNG,Charts/img_67_12_month.PNG,0
Data/Stocks\apa.us.txt,1991-12-06,1,-0.1859920829841949,-0.006488926505854087,0.035240510050343676,0.017715053750603883,0.020433753877226395,0.024243446388232955,Charts/img_68_1_month.PNG,Charts/img_68_6_month.PNG,Charts/img_68_12_month.PNG,0
Data/ETFs\angl.us.txt,2014-10-15,0,-0.00881321126037471,0.01918001055780394,0.09474082124462502,0.00486842579026892,0.00425204826516443,0.004384923672416861,Charts/img_70_1_month.PNG,Charts/img_70_6_month.PNG,Charts/img_70_12_month.PNG,2
Data/Stocks\gpt.us.txt,2015-08-11,1,0.001661302045478097,-0.11017848083752246,-0.014808006535947715,0.011921778288697933,0.01382596345780597,0.012707343196633757,Charts/img_71_1_month.PNG,Charts/img_71_6_month.PNG,Charts/img_71_12_month.PNG,0
Data/Stocks\uaa.us.txt,2008-06-12,1,-0.01273499090357777,-0.2804101838755303,-0.2720443570023251,0.032837209097243816,0.04490393192234149,0.03904249146314869,Charts/img_72_1_month.PNG,Charts/img_72_6_month.PNG,Charts/img_72_12_month.PNG,0
Data/Stocks\six.us.txt,2015-06-08,1,-0.007724371806043018,0.15229995077394287,0.18286965554027113,0.011729464834828555,0.013019307010466073,0.01522992391669414,Charts/img_73_1_month.PNG,Charts/img_73_6_month.PNG,Charts/img_73_12_month.PNG,2
Data/Stocks\abus.us.txt,2013-07-23,1,0.08993576017130622,0.060416666666666785,0.8375451263537905,0.025717899929045034,0.021543494277339703,0.030902883836119763,Charts/img_75_1_month.PNG,Charts/img_75_6_month.PNG,Charts/img_75_12_month.PNG,2
Data/Stocks\pcg_i.us.txt,2013-10-31,1,0.045079398244881164,-0.10455176117799747,-0.09515625706661834,0.04340262992923339,0.023446260435680488,0.019784924469762717,Charts/img_77_1_month.PNG,Charts/img_77_6_month.PNG,Charts/img_77_12_month.PNG,1
Data/Stocks\iex.us.txt,2009-09-04,1,-0.006132477764691502,0.5579322638146169,-0.21902026487952764,0.018524259458431204,0.026639642911520232,0.035540322187987264,Charts/img_80_1_month.PNG,Charts/img_80_6_month.PNG,Charts/img_80_12_month.PNG,0
Data/Stocks\mvf.us.txt,2008-11-24,1,-0.07408421148670219,-0.31215263657313275,-0.2903270921837031,0.019107428142445627,0.02602728408994052,0.019984444322828213,Charts/img_82_1_month.PNG,Charts/img_82_6_month.PNG,Charts/img_82_12_month.PNG,2
Data/Stocks\mik.us.txt,2016-06-29,1,-0.05754651964162638,0.23699683401175942,0.01635079895949465,0.021766706753309616,0.02222625494010307,0.02031176135413063,Charts/img_83_1_month.PNG,Charts/img_83_6_month.PNG,Charts/img_83_12_month.PNG,0
Data/Stocks\aray.us.txt,2016-05-19,1,-0.1634304207119741,-0.2397058823529412,-0.16207455429497564,0.02186082314655297,0.030461769846734273,0.03133094147336534,Charts/img_85_1_month.PNG,Charts/img_85_6_month.PNG,Charts/img_85_12_month.PNG,0
Data/Stocks\hdrw.us.txt,2016-11-25,1,-0.03290971561038214,0.04443848354792568,0.0302976846747518,0.007358836122500042,0.0068116238813023516,0.011047364505952556,Charts/img_86_1_month.PNG,Charts/img_86_6_month.PNG,Charts/img_86_12_month.PNG,0
Data/Stocks\trxc.us.txt,2013-10-25,1,0.0,2.1914893617021276,2.947368421052632,0.03868568870948502,0.12152027073901833,0.15395343210766071,Charts/img_88_1_month.PNG,Charts/img_88_6_month.PNG,Charts/img_88_12_month.PNG,2
Data/Stocks\eod.us.txt,2013-08-15,1,-0.010556891025640947,0.0016222902682863083,0.015543721857844917,0.005328612288720363,0.009766867673748316,0.010681237929315536,Charts/img_89_1_month.PNG,Charts/img_89_6_month.PNG,Charts/img_89_12_month.PNG,1
Data/ETFs\fez.us.txt,2015-08-07,0,0.0922416875223453,0.06864888500218624,0.026631941527345937,0.014117640151833243,0.013179624110721563,0.012889346901543614,Charts/img_91_1_month.PNG,Charts/img_91_6_month.PNG,Charts/img_91_12_month.PNG,0
Data/Stocks\ale.us.txt,2008-04-14,1,0.11917154630232063,-0.08455784525323007,-0.17122591006423982,0.012397981716097708,0.01672620472037147,0.015877403034925915,Charts/img_92_1_month.PNG,Charts/img_92_6_month.PNG,Charts/img_92_12_month.PNG,2
Data/ETFs\sdd.us.txt,2010-07-29,0,-0.12510602205258692,-0.26110315186246424,-0.44839572192513366,0.037636724311041016,0.03371928604049925,0.03007322412797598,Charts/img_93_1_month.PNG,Charts/img_93_6_month.PNG,Charts/img_93_12_month.PNG,2
Data/ETFs\fieu.us.txt,2016-06-15,0,-0.10427557365322171,-0.14154625039552793,-0.31914003680776315,0.026912387484825127,0.02821611585571196,0.02553553759934547,Charts/img_94_1_month.PNG,Charts/img_94_6_month.PNG,Charts/img_94_12_month.PNG,2
Data/Stocks\thga.us.txt,2015-08-04,1,0.006320707186369345,0.03465975983046854,0.11324483177948919,0.0031701073168922257,0.004336751393969486,0.004842714472466699,Charts/img_95_1_month.PNG,Charts/img_95_6_month.PNG,Charts/img_95_12_month.PNG,1
